"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
178,"HOUSE OF DELEGATES, 72nd District (Vote For 1)","CLAY RILEY","REP",3062,71.34,0,4420,2,2,"0","0"
179,"HOUSE OF DELEGATES, 72nd District (Vote For 1)","DEREK MCINTYRE","DEM",1230,28.66,0,4420,2,2,"0","0"
180,"HOUSE OF DELEGATES, 73rd District (Vote For 1)","AMY SUMMERS","REP",3347,69.35,0,2095,2,2,"0","0"
181,"HOUSE OF DELEGATES, 73rd District (Vote For 1)","MIKE MANYPENNY","DEM",1479,30.65,0,2095,2,2,"0","0"
182,"HOUSE OF DELEGATES, 74th District (Vote For 1)","MIKE DEVAULT","REP",3752,66.55,0,5757,1,1,"0","0"
183,"HOUSE OF DELEGATES, 74th District (Vote For 1)","JOHN ""JOHNBOY"" PALMER","DEM",1886,33.45,0,5757,1,1,"0","0"
184,"HOUSE OF DELEGATES, 75th District (Vote For 1)","PHIL MALLOW","REP",2923,54.52,0,5510,1,1,"0","0"
185,"HOUSE OF DELEGATES, 75th District (Vote For 1)","STEPHANIE SPEARS TOMANA","DEM",2438,45.48,0,5510,1,1,"0","0"
186,"HOUSE OF DELEGATES, 76th District (Vote For 1)","JOEY GARCIA","DEM",2485,54.58,0,4658,1,1,"0","0"
187,"HOUSE OF DELEGATES, 76th District (Vote For 1)","JON DODDS","REP",2068,45.42,0,4658,1,1,"0","0"
188,"HOUSE OF DELEGATES, 77th District (Vote For 1)","JOE STATLER","REP",3557,68.13,0,5336,2,2,"0","0"
189,"HOUSE OF DELEGATES, 77th District (Vote For 1)","BEN SWANSON","DEM",1664,31.87,0,5336,2,2,"0","0"
190,"HOUSE OF DELEGATES, 78th District (Vote For 1)","GENO CHIARELLI","REP",3056,56.62,0,5578,1,1,"0","0"
191,"HOUSE OF DELEGATES, 78th District (Vote For 1)","JEFFREY A. BUDKEY","DEM",2341,43.38,0,5578,1,1,"0","0"
192,"HOUSE OF DELEGATES, 79th District (Vote For 1)","EVAN HANSEN","DEM",2790,74.66,0,3807,1,1,"0","0"
193,"HOUSE OF DELEGATES, 79th District (Vote For 1)","ZACH LEMAIRE","REP",947,25.34,0,3807,1,1,"0","0"
194,"HOUSE OF DELEGATES, 80th District (Vote For 1)","JOHN WILLIAMS","DEM",2427,62.47,0,3973,1,1,"0","0"
195,"HOUSE OF DELEGATES, 80th District (Vote For 1)","JUSTIN WHITE","REP",1458,37.53,0,3973,1,1,"0","0"
196,"HOUSE OF DELEGATES, 81st District (Vote For 1)","DANIELLE WALKER","DEM",1633,62.90,0,2636,1,1,"0","0"
197,"HOUSE OF DELEGATES, 81st District (Vote For 1)","STEVEN HARRIS","REP",963,37.10,0,2636,1,1,"0","0"
198,"HOUSE OF DELEGATES, 82nd District (Vote For 1)","DEBBIE WARNER","REP",2822,51.26,0,5592,1,1,"0","0"
199,"HOUSE OF DELEGATES, 82nd District (Vote For 1)","KATIE FALLON","DEM",2683,48.74,0,5592,1,1,"0","0"
200,"HOUSE OF DELEGATES, 83rd District (Vote For 1)","GEORGE STREET","REP",2943,70.75,0,4241,1,1,"0","0"
