TOTAL VOTER TURNOUT: 97,057,730
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-11-05	12	0	0	63	OAKLAND	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			354385			
2024-11-05	12	0	0	63	OAKLAND	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			2028	Y		
2024-11-05	12	0	0	64	OCEANA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			409			
2024-11-05	12	0	0	64	OCEANA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		457			
2024-11-05	12	0	0	64	OCEANA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			8788			
2024-11-05	12	0	0	64	OCEANA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			4475			
2024-11-05	12	0	0	64	OCEANA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			7727			
2024-11-05	12	0	0	64	OCEANA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			4275			
2024-11-05	12	0	0	64	OCEANA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			0	Y		
2024-11-05	12	0	0	65	OGEMAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			313			
2024-11-05	12	0	0	65	OGEMAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		425			
2024-11-05	12	0	0	65	OGEMAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			7729			
2024-11-05	12	0	0	65	OGEMAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			3210			
