"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
230,"State  House of Representatives, District  32 (Vote For 1)","REP Scott Montgomery","REP",12786,98.08,206828,23453,1,1,"0","0"
231,"State  House of Representatives, District  32 (Vote For 1)","Write-In","NON",250,1.92,206828,23453,1,1,"0","0"
232,"State  House of Representatives, District  33 (Vote For 1)","REP Travis A Moore","REP",14848,71.86,206828,26616,1,1,"0","0"
233,"State  House of Representatives, District  33 (Vote For 1)","DEM Clemson Turregano","DEM",5770,27.92,206828,26616,1,1,"0","0"
234,"State  House of Representatives, District  33 (Vote For 1)","Write-In","NON",45,0.22,206828,26616,1,1,"0","0"
235,"State  House of Representatives, District  34 (Vote For 1)","REP Sarita Edgerton","REP",16061,98.35,206828,32880,1,1,"0","0"
236,"State  House of Representatives, District  34 (Vote For 1)","Write-In","NON",269,1.65,206828,32880,1,1,"0","0"
237,"State House of Representatives, District 35 (Vote For 1)","REP Bill Chumley","REP",19136,98.05,548283,34870,2,2,"0","0"
238,"State House of Representatives, District 35 (Vote For 1)","Write-In","NON",380,1.95,548283,34870,2,2,"0","0"
239,"State  House of Representatives, District  36 (Vote For 1)","REP Rob Harris","REP",14083,98.25,206828,20328,1,1,"0","0"
